"Parcel Number",Number,Street,"School District",Township,"Corp / Village","Sale #",Month,Year,"Sale Price",Sqft,Acres,"Yr Built",Story,Basement,Frame,Bedrooms,BasementSqft,"Fin Base",Air,GarageSqft,Type,"Heat Type",Roof,RoofType,Rooms,FullBaths,HalfBaths,Grade,MHRE,NeighCode,PropClass,LandValue,BldgValue,"Property Card"
020001210301,11291,HELBER,2A,4B,,"  298"," 7",10,"    30000",,"    60000",,,,,,,,,,,,,,,,,,,7025,501,"  30500",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020001210301.pdf
020001280000,11740,ANTIOCH,2A,4B,,"  312"," 7",10,"   135900"," 1525","     4600",1964,1,,F,,,,Y,"  400",A,ELECTRIC,S,ASP," 5",1,,C,,7025,511,"  14910","   86820",http://www.realestate.co.hocking.oh.us/cards/Crnt/020001280000.pdf
020001630000,11660,WALKER,2A,4B,,"   10"," 1",10,"   163000"," 1562","     7600",77R9,1,B,F,,"  541",F,Y,"  960",D,"HEAT PMP",S,ASP," 5",2,,C,," 268",511,"  25560","  133810",http://www.realestate.co.hocking.oh.us/cards/Crnt/020001630000.pdf
020001770000,11609,WALKER,2A,4B,,"   47"," 2",10,"   164000"," 2001","     8090",1964,1,,F,,,,Y,"  819",A,ELECTRIC,S,ASP," 5",1,1,C+10,," 266",511,"  29070","  131460",http://www.realestate.co.hocking.oh.us/cards/Crnt/020001770000.pdf
020001790200,11460,DALTON,2A,4B,,"  430",10,10,"   152000"," 1800","    18363",62R1,1,,F,,,,Y,"  450",A,"WARM AIR",S,HIP," 5",1,,C,,7025,511,"  22680","  114410",http://www.realestate.co.hocking.oh.us/cards/Crnt/020001790200.pdf
020001890400,28890,"LAKE LOGAN",2A,4B,,"   65"," 2",10,"    42000","  938","    20000",1983,1,,F," 2",,,,,,PROPANE,,RUB,,1,,E-40,X,7025,561,"  23000","   12400",http://www.realestate.co.hocking.oh.us/cards/Crnt/020001890400.pdf
020001960000,29260,"LAKE LOGAN",2A,4B,,"   22"," 1",10,"    40000"," 1184","     2200",2002,1,,F," 3",,,,"  506",A,ELEC,S,GAM," 5",1,,D-5,," 261",511,"  15840","   58340",http://www.realestate.co.hocking.oh.us/cards/Crnt/020001960000.pdf
020002140000,29464,"LAKE LOGAN",2A,4B,,"  503",12,10,"    25000",,"     1140",,,,,,,,,,,,,,,,,,,7025,511,"   7560",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020002140000.pdf
020003330000," 1030","ST RT 664",2A,4B,,"  467",11,10,"    61000"," 1005","    56900",OLD/,1,B,F,,"  840",,,,,"HA GAS",L,GAB," 5",1,,D+5,," 285",511,"  30020","   33820",http://www.realestate.co.hocking.oh.us/cards/Crnt/020003330000.pdf
020004120000,13724,"ST RT 93",2A,4B,,"   60"," 2",10,"   159900"," 1831","   191100",55R1,1,B,F,," 1337",F,Y,,,"FA GAS",S,GAB," 6",2,,C,,7025,513,"  55410","  113990",http://www.realestate.co.hocking.oh.us/cards/Crnt/020004120000.pdf
